sector,country_binned,from,to,frequency,EPS,JSS,EPDR,SPDR,promotion_prob
Information Technology,US,Software Engineer,Senior Software Engineer,14903,1.0,1.0,0.6980573121403749,0.5063082790384665,0.9988827215256033
Information Technology,US,Systems Engineer,Senior Systems Engineer,2679,0.999999969032488,1.0,0.5922734026745914,0.5124614076122828,0.9972524850910228
Information Technology,US,Software Developer,Senior Software Developer,1982,1.0,1.0,0.676818950930626,,0.9984267456661393
Information Technology,US,Senior Software Engineer,Principal Software Engineer,1761,1.0,1.0,0.5688195991091314,0.4928865836464591,0.9966243100047073
Information Technology,US,Programmer,Senior Programmer,1672,1.0,1.0,0.6217264791464597,0.5026735015055173,0.9978555334543585
Information Technology,US,Programmer Analyst,Senior Programmer Analyst,1534,0.5755948700074761,1.0,0.7713625866050808,0.5013366928880764,0.999667507672022
Information Technology,US,Programmer,Software Engineer,1522,1.0,1.0,0.4392434988179669,0.5040740000536167,0.9898968987611917
Information Technology,US,Software Developer,Senior Software Engineer,1372,1.0,1.0,0.4880694143167028,0.5101120617271591,0.9933314100233803
Information Technology,US,Web Developer,Software Engineer,1355,1.0,1.0,0.2886352829291488,0.5110515739618792,0.9644557923500017
Information Technology,US,Systems Administrator,Systems Engineer,1330,1.0,1.0,0.3468354430379747,0.4958639961512274,0.977967914564695
Information Technology,US,Network Engineer,Senior Network Engineer,1321,0.9999999999999568,1.0,0.4867754642656162,0.5062965516239765,0.9932496641061169
Information Technology,US,Systems Analyst,Senior Systems Analyst,1288,1.0,1.0,0.7139055222887558,0.4975679805260295,0.9990212942574327
Information Technology,US,Senior Software Engineer,Technical Lead,1264,0.0,0.0,0.4371802160318362,0.4909300221432074,0.936067623857528
Information Technology,US,Programmer,Programmer Analyst,1210,1.0,0.9943109973312344,0.4801223241590214,0.4961726386229484,0.9927015561329388
Information Technology,US,Software Engineer Intern,Software Engineer,1036,1.0,1.0,0.666934835076428,,0.9982884179086619
Information Technology,US,Systems Administrator,Senior Systems Administrator,1009,1.0,1.0,0.6144,0.5103459441495063,0.9977229486275087
Information Technology,US,Senior Software Engineer,Lead Software Engineer,989,9.80145530404819e-07,0.6451729595754123,0.323962516733601,0.5022575203066018,0.9786968276240742
Information Technology,US,Software Engineer,Lead Software Engineer,967,0.9999999803910578,1.0,0.5276461295418642,0.5085653114283373,0.995232472056793
Information Technology,US,Software Engineer,Systems Engineer,961,0.0,1.0,0.0531506849315068,0.4852206446238052,0.9351040016489607
Information Technology,US,Associate Software Engineer,Software Engineer,954,1.0,1.0,0.8102466793168881,0.5123689267961902,0.9995719192446384
Information Technology,US,Software Engineer,Software Engineer II,946,0.9469509455299524,0.2596961148963164,0.587248322147651,,0.9659152260348219
Information Technology,US,Programmer,Systems Analyst,930,1.0,1.0,0.3219616204690831,0.5008582782157084,0.9729368423303185
Information Technology,US,Web Designer,Web Developer,912,1.0,1.0,0.2476060191518468,0.5029837959016508,0.9501606351908549
Information Technology,US,Developer,Senior Developer,894,1.0,1.0,0.5795053003533569,0.5185662437444056,0.9969428572273789
Information Technology,US,Software Engineering Intern,Software Engineer,858,1.0,1.0,0.7023809523809523,0.506098624707414,0.9989231079934583
Information Technology,US,Network Administrator,Network Engineer,854,1.0,1.0,0.3841166936790924,0.508747535281909,0.9839436521703603
Information Technology,US,Software Engineer,Technical Lead,831,1.0,1.0,0.5605633802816902,0.4972376689840876,0.9963835969526246
